x,y,z
52.14032,31.22194,0
52.14032,34.03573,0
52.14032,36.84953,0
52.14032,39.66332,0
52.14032,42.47711,0
52.14032,45.29091,0
52.14032,48.1047,0
52.14032,50.91849,0
52.14032,53.73229,0
52.14032,56.54608,0
52.14032,59.35987,0
52.14032,62.17367,0
52.14032,64.98746,0
52.14032,67.80125,0
49.22722,67.80125,0
55.05341,25.59435,0
52.14032,25.59435,0
55.05341,28.40815,0
55.05341,31.22194,0
55.05341,34.03573,0
55.05341,36.84953,0
55.05341,39.66332,0
55.05341,42.47711,0
55.05341,45.29091,0
55.05341,48.1047,0
55.05341,50.91849,0
55.05341,53.73229,0
55.05341,56.54608,0
55.05341,59.35987,0
55.05341,62.17367,0
55.05341,64.98746,0
55.05341,67.80125,0
57.96651,25.59435,0
55.05341,22.78056,0
57.96651,28.40815,0
57.96651,31.22194,0
57.96651,34.03573,0
57.96651,36.84953,0
57.96651,39.66332,0
57.96651,42.47711,0
57.96651,45.29091,0
57.96651,48.1047,0
57.96651,50.91849,0
57.96651,53.73229,0
57.96651,56.54608,0
57.96651,59.35987,0
57.96651,62.17367,0
57.96651,64.98746,0
57.96651,67.80125,0
60.8796,25.59435,0
57.96651,22.78056,0
60.8796,28.40815,0
60.8796,31.22194,0
60.8796,34.03573,0
60.8796,36.84953,0
60.8796,39.66332,0
60.8796,42.47711,0
60.8796,45.29091,0
60.8796,48.1047,0
60.8796,50.91849,0
60.8796,53.73229,0
60.8796,56.54608,0
60.8796,59.35987,0
60.8796,62.17367,0
60.8796,64.98746,0
60.8796,67.80125,0
63.79269,25.59435,0
60.8796,22.78056,0
63.79269,28.40815,0
63.79269,31.22194,0
63.79269,34.03573,0
63.79269,36.84953,0
63.79269,39.66332,0
63.79269,42.47711,0
63.79269,45.29091,0
63.79269,48.1047,0
63.79269,50.91849,0
63.79269,53.73229,0
63.79269,56.54608,0
63.79269,59.35987,0
63.79269,62.17367,0
63.79269,64.98746,0
63.79269,67.80125,0
66.70579,28.40815,0
66.70579,31.22194,0
66.70579,34.03573,0
66.70579,36.84953,0
66.70579,39.66332,0
66.70579,42.47711,0
66.70579,45.29091,0
66.70579,48.1047,0
66.70579,50.91849,0
66.70579,53.73229,0
66.70579,56.54608,0
66.70579,59.35987,0
66.70579,62.17367,0
66.70579,64.98746,0
69.61888,28.40815,0
66.70579,25.59435,0
69.61888,31.22194,0
69.61888,34.03573,0
69.61888,36.84953,0
69.61888,39.66332,0
69.61888,42.47711,0
69.61888,45.29091,0
69.61888,48.1047,0
69.61888,50.91849,0
69.61888,53.73229,0
69.61888,56.54608,0
69.61888,59.35987,0
69.61888,62.17367,0
72.53198,34.03573,0
72.53198,36.84953,0
72.53198,39.66332,0
72.53198,42.47711,0
72.53198,45.29091,0
72.53198,48.1047,0
72.53198,50.91849,0
72.53198,53.73229,0
72.53198,56.54608,0
72.53198,59.35987,0
14.45486,21.07022,0
23.00938,3.08401,0
25.92247,28.40815,0
28.83556,29.67779,0
34.66175,31.22194,0
37.57484,30.16555,0
63.79269,22.78056,0
69.61888,24.14367,0
72.53198,31.22194,0
69.5795,65.38072,0
52.14032,22.33054,0
17.18319,1.07022,0
14.78819,1.07022,0
14.78819,6.39824,0
14.78819,9.21203,0
14.78819,12.02582,0
14.78819,14.83962,0
14.68903,17.55763,0
14.78819,3.58445,0
20.09628,1.07022,0
23.00938,1.07022,0
24.78819,3.08401,0
24.78819,5.8978,0
24.78819,8.7116,0
24.78819,11.52539,0
24.78819,14.33918,0
24.78819,17.15297,0
24.78819,19.96677,0
14.52842,62.17367,0
14.71601,64.98746,0
14.78819,67.80125,0
14.78819,70.61504,0
14.78819,73.42884,0
14.78819,76.24263,0
14.78819,79.05642,0
17.18319,81.07022,0
20.09628,81.07022,0
23.00938,81.07022,0
24.78819,81.07022,0
24.84038,79.05642,0
24.9133,76.24263,0
24.98621,73.42884,0
11.58975,53.73229,0
13.66805,59.35987,0
12.76204,56.54608,0
10.72084,50.91849,0
9.85139,48.10297,0
9.55412,45.29091,0
9.25667,42.47711,0
9.25623,39.66332,0
9.55942,36.84953,0
9.8626,34.03573,0
10.35978,31.22194,0
12.78403,25.59435,0
11.58705,28.40815,0
40.48794,65.25174,0
46.31413,66.75729,0
57.96651,70.28224,0
52.14032,69.57559,0
55.05341,70.4079,0
60.8796,69.92449,0
63.79269,69.14238,0
66.70579,67.39367,0
66.70579,22.67276,0
34.66175,64.98847,0
